orig.ident,nCount_RNA,nFeature_RNA,novelty_score,RNA_snn_res.0.8,seurat_clusters
control,1696,510,0.8384060522217094,9,9
control,1070,447,0.8748668764434561,9,9
control,575,353,0.9232178830109755,0,0
control,658,284,0.8705186995855118,9,9
control,286,170,0.9080279124919406,0,0
control,2433,968,0.8817926895133146,7,7
control,1734,499,0.8329915564841398,9,9
control,1473,569,0.8696136221524214,0,0
control,1258,621,0.9010901197799028,7,7
control,1014,470,0.8889102193448859,3,3
control,2217,698,0.8499864256710362,13,13
control,1142,489,0.8795299315660425,7,7
control,3535,916,0.8347154510528139,4,4
control,1226,464,0.8633725783837062,7,7
control,1043,413,0.8667010077059734,7,7
control,1212,586,0.8976472399334141,7,7
control,1054,504,0.8940036489922326,3,3
control,778,465,0.9226813484493325,6,6
control,2268,744,0.8557444557033178,4,4
control,721,363,0.8957188977082815,3,3
control,3334,1060,0.8587384075325557,4,4
control,1646,594,0.8623805246283055,0,0
control,1257,498,0.8702605885135272,7,7
control,882,395,0.8815565403527308,0,0
control,995,516,0.9048731791578656,3,3
control,5011,1530,0.8607450002105518,4,4
control,2451,788,0.8545980597107267,7,7
control,3101,1001,0.8593534468443891,7,7
control,981,462,0.890687428650328,11,11
control,1123,444,0.8678863556842016,9,9
control,1094,528,0.8958928607699889,7,7
control,1301,488,0.8632564046146254,0,0
control,1711,608,0.861023295772868,4,4
control,2118,669,0.8495156402579777,0,0
control,523,289,0.9052405053983752,3,3
control,1155,549,0.894530288024444,3,3
control,1844,599,0.8504685104691866,0,0
control,1627,814,0.9063447985987847,6,6
control,4011,1159,0.8503659674751953,14,14
control,459,229,0.8865520459654651,0,0
control,5066,1335,0.8436609273010797,12,12
control,1139,443,0.8658214249655151,9,9
control,1495,463,0.8396479568086601,9,9
control,1601,547,0.854448487318023,0,0
control,748,278,0.8504274459968277,9,9
control,716,380,0.9036294893955698,3,3
control,1149,460,0.8700912998379734,9,9
control,1393,748,0.914105051713824,6,6
control,506,278,0.9038124101073726,3,3
control,1780,747,0.8839844080993756,0,0
control,2372,642,0.8318339642804969,4,4
control,1656,662,0.8762985772602052,7,7
control,815,435,0.9063367950375738,7,7
control,1216,488,0.8714676529324819,0,0
control,1588,544,0.8546475073826897,0,0
control,1631,508,0.8423042773841622,0,0
control,929,477,0.9024609830774811,3,3
control,1915,704,0.8675887352182375,0,0
control,1087,527,0.8964442825193681,7,7
control,297,229,0.9543339713021456,3,3
control,4518,1429,0.8632226120983021,17,17
control,269,129,0.8686439879777197,11,11
control,967,434,0.8834549275987905,3,3
control,1496,458,0.8380859239385159,9,9
control,2321,1022,0.894159647086745,3,3
control,1470,615,0.8805164816228154,0,0
control,558,272,0.8863826515288823,0,0
control,1364,539,0.8713717759649988,3,3
control,1668,587,0.8592394942651992,4,4
control,341,196,0.905044756952828,6,6
control,1032,497,0.8947056952193417,9,9
control,1375,521,0.8657028924861135,0,0
control,983,439,0.8830132876475254,3,3
control,1125,555,0.8994283186215261,0,0
control,4267,1252,0.8533056961498534,12,12
control,1696,788,0.8969167752696718,3,3
control,1409,564,0.8737239985518368,0,0
control,1859,674,0.8652242770639064,0,0
control,1501,535,0.8589504994422977,0,0
control,1065,469,0.8823469994529375,3,3
control,715,410,0.9153832204590985,3,3
control,2866,935,0.8592925329049257,0,0
control,1077,485,0.8857357132215639,3,3
control,938,379,0.8675852053806569,9,9
control,1132,569,0.902177739577723,7,7
control,650,374,0.9146643625280875,3,3
control,779,446,0.9162374333703516,0,0
control,851,489,0.9178749195069315,6,6
control,3249,852,0.8344670992068954,4,4
control,941,459,0.8951513230226259,11,11
control,1405,516,0.8617943594569649,0,0
control,2093,877,0.8862403229502231,7,7
control,1352,446,0.8461688219574445,0,0
control,1098,442,0.8700323072335215,0,0
control,650,376,0.9154877944769282,6,6
control,523,334,0.928359352192693,6,6
control,1205,580,0.8969294422492472,0,0
control,975,469,0.8936663492206834,3,3
control,3956,1148,0.8506321616801056,4,4
control,1243,453,0.8583367210728374,0,0
control,1210,468,0.8661796175580078,0,0
control,1445,520,0.8595306750356118,0,0
control,3781,1155,0.8560421143013809,12,12
control,2004,752,0.8710802353486713,4,4
control,1159,531,0.8893669438294779,3,3
control,3042,889,0.8466169886072545,4,4
control,1380,411,0.832465757422499,4,4
control,1546,609,0.8731371525542461,0,0
control,786,423,0.9070663523593688,5,5
control,3446,1118,0.8617953357797505,9,9
control,1387,570,0.8770871396080308,0,0
control,634,280,0.8733333616903313,0,0
control,524,248,0.880529596481102,0,0
control,612,326,0.9018449152285621,9,9
control,989,441,0.8828932503978562,7,7
control,863,415,0.8917024762078023,3,3
control,1420,509,0.8586517115922333,0,0
control,1012,446,0.8815892581789824,3,3
control,944,515,0.9115404226455684,3,3
control,1196,667,0.9175999036522462,6,6
control,3895,1303,0.8675499072685505,12,12
control,1719,597,0.8580332673119636,4,4
control,1206,505,0.8773082382735733,0,0
control,2637,938,0.8687831509705083,7,7
control,1005,442,0.881171199371066,0,0
control,2689,764,0.8406522891030225,4,4
control,421,188,0.8665828467421313,16,16
control,966,449,0.8885315460317348,6,6
control,2645,823,0.8518519058983529,4,4
control,871,408,0.8879741639156902,3,3
control,1090,518,0.8936281294660298,3,3
control,2465,988,0.8829359048652193,13,13
control,2229,679,0.8458114328260223,12,12
control,706,361,0.8977474661430472,3,3
control,342,241,0.9400128265774468,3,3
control,3354,1222,0.875625015035558,4,4
control,240,125,0.8809764344698128,16,16
control,1809,547,0.8405338336043782,4,4
control,1115,398,0.8531829865106528,0,0
control,3526,1166,0.8645205777782489,14,14
control,2206,705,0.8518316859115134,14,14
control,1121,476,0.8780174530312663,11,11
control,1202,462,0.8651703335379132,0,0
control,1126,439,0.8659450356106698,9,9
control,1671,600,0.8619831058571769,0,0
control,1134,479,0.8774713738016751,0,0
control,1150,519,0.8871072871194519,0,0
control,1771,654,0.8668067419985133,9,9
control,1248,459,0.8596990331790768,0,0
control,416,182,0.8629212871326907,9,9
