orig.ident,nCount_RNA,nFeature_RNA
control,693,401
control,1699,725
control,1022,490
control,761,428
control,1483,614
control,873,340
control,2526,859
control,1301,510
control,855,427
control,795,370
control,980,466
control,1861,590
control,2926,939
control,1851,645
control,1405,510
control,821,360
control,1147,440
control,1468,622
control,419,229
control,2772,885
control,2346,629
control,2144,947
control,939,442
control,982,409
control,1289,542
control,1235,555
control,640,283
control,1788,549
control,2585,833
control,730,460
control,1967,556
control,2388,689
control,607,303
control,1127,392
control,1163,535
control,1690,578
control,833,521
control,1875,710
control,1076,456
control,1223,439
control,6147,1594
control,1112,383
control,1600,673
control,1920,597
control,3254,849
control,2510,804
control,1012,410
control,1169,479
control,1341,577
control,2457,728
control,1112,479
control,1319,534
control,3044,820
control,777,369
control,1214,540
control,1665,680
control,2553,808
control,1828,537
control,374,186
control,1213,473
control,839,395
control,3369,822
control,774,399
control,1531,551
control,275,162
control,1252,576
control,593,256
control,848,399
control,449,223
control,2193,715
control,1475,506
control,1114,502
control,1207,448
control,1177,523
control,1113,489
control,1007,431
control,1246,490
control,4357,1083
control,1748,631
control,1590,755
control,1170,568
control,316,192
control,2806,876
control,1213,543
control,1501,584
control,1594,647
control,973,489
control,1155,472
control,683,412
control,1051,405
control,1168,523
control,1071,535
control,1471,503
control,2020,728
control,1660,593
control,905,388
control,1341,466
control,870,400
control,3067,864
control,1655,591
control,1184,480
control,1145,486
control,5550,1473
control,1596,519
control,2198,885
control,2727,876
control,1043,455
control,1652,649
control,578,326
control,1832,622
control,1939,911
control,1149,571
control,921,481
control,1250,525
control,3764,1056
control,1289,502
control,1609,471
control,596,294
control,635,338
control,2484,827
control,2433,796
control,3754,1147
control,3758,1004
control,671,340
control,754,408
control,322,195
control,941,410
control,3449,984
control,2398,678
control,2107,825
control,331,196
control,348,213
control,1079,382
control,1256,452
control,764,462
control,835,396
control,1797,593
control,889,353
control,3609,1086
control,1071,479
control,1285,550
control,1068,426
control,2005,755
control,957,393
control,664,383
control,1899,723
control,1228,432
control,1461,572
control,2870,1002
control,657,359
control,2010,733
control,1598,597
control,3571,1262
control,1942,614
control,1067,447
control,3034,794
control,1170,472
control,4145,964
control,2026,709
control,1228,508
control,2930,926
control,1218,505
control,582,341
control,1328,495
control,866,422
control,1322,537
control,3233,1091
control,988,501
control,991,452
control,1226,559
control,2913,932
control,1216,542
control,1537,525
control,2831,969
control,2498,1033
control,1276,618
control,1276,469
control,1226,457
control,762,360
control,1189,496
control,911,435
control,1066,422
control,2857,876
control,785,343
control,854,460
control,1692,659
control,880,360
control,2578,755
control,1873,732
control,1045,637
control,1115,437
control,1125,503
control,1229,421
control,963,441
control,1041,531
control,1173,500
control,987,381
control,1195,466
control,1200,404
control,890,477
control,1193,516
control,884,489
control,2044,646
control,961,565
control,1228,465
control,977,452
control,1087,407
control,1296,525
control,3765,1160
control,557,349
control,1690,827
control,1014,508
control,1161,607
control,906,473
control,459,256
control,1760,692
control,377,166
control,3549,1057
control,955,408
control,573,203
control,1026,436
control,2429,799
control,1185,475
control,952,442
control,733,370
control,1141,453
control,905,431
control,1253,508
control,819,322
control,854,431
control,1267,614
control,1178,401
control,2301,729
control,1041,477
control,1852,613
control,1077,641
control,1059,559
control,255,120
control,894,396
control,545,300
control,1030,480
control,877,416
control,3770,775
control,1144,433
control,831,416
control,2874,868
control,1447,511
control,1393,537
control,2042,832
control,1376,580
control,947,405
control,1005,441
control,2312,719
control,1110,491
control,1237,493
control,1355,551
control,1588,614
control,1346,447
control,1938,583
control,2630,873
control,1893,770
control,1245,501
control,5314,641
control,946,527
control,2523,779
control,2828,1002
control,696,388
control,912,469
control,834,454
control,662,437
control,1641,547
control,1274,471
control,160,106
control,637,353
control,1875,644
control,1785,675
control,873,438
control,2531,652
control,3375,1026
control,1112,446
control,644,348
control,1557,568
control,1305,481
control,1755,618
control,3221,1240
control,1489,579
control,1468,596
control,972,390
control,674,293
control,2836,808
control,2806,900
control,1257,544
control,1232,453
control,1656,574
control,970,579
control,494,311
control,1338,560
control,1779,671
control,188,120
control,3271,1055
control,1742,750
control,1027,452
control,2384,851
control,4302,1038
control,1430,560
control,1195,434
control,2547,1039
control,1058,418
control,1047,506
control,1440,561
control,765,365
control,1593,428
control,2887,993
control,887,461
control,1181,449
control,565,346
control,2342,764
control,2651,892
control,854,440
control,1941,540
control,880,433
control,2648,822
control,1239,518
control,1951,671
control,1665,592
control,2337,657
control,897,416
control,1128,468
control,1715,554
control,1432,734
control,4395,1158
control,1258,563
control,1055,450
control,2939,1085
control,903,364
control,428,179
control,1887,842
control,869,500
control,1433,475
control,1797,539
control,1073,526
control,3656,1027
control,2967,920
control,1153,431
control,844,368
control,801,415
control,1000,471
control,2760,968
control,1509,528
control,582,339
control,2436,710
control,1234,644
control,1003,456
control,1354,459
control,920,421
control,1134,525
control,1136,513
control,1116,537
control,980,396
control,1499,516
control,4078,1068
control,5445,1069
control,762,305
control,3115,1007
control,1545,557
control,657,365
control,1565,492
control,659,362
control,1231,472
control,2847,666
control,2033,614
control,1850,885
control,1426,447
control,2618,851
control,813,379
control,2538,869
control,1235,497
control,5389,1366
control,987,493
control,3216,1284
control,621,317
control,2340,799
control,1455,572
control,2638,773
control,1031,468
control,1355,524
control,2766,913
control,634,309
control,999,360
control,917,508
control,1362,483
control,1326,575
control,1971,699
control,464,261
control,1175,477
control,5960,1587
control,682,346
control,1215,434
control,3242,937
control,614,351
control,2035,631
control,830,449
control,2601,708
control,1390,484
control,947,385
control,1185,543
control,2044,886
control,1745,436
control,1543,529
control,1330,508
control,1899,632
control,2318,851
control,2876,942
control,1354,418
control,1657,737
control,914,451
control,703,434
control,2589,795
control,997,488
control,2851,1041
control,876,448
control,3241,816
control,1243,565
control,904,408
control,741,352
control,5307,1152
control,1290,487
control,794,434
control,3143,1058
control,1227,533
control,1251,439
control,2327,797
control,2863,831
control,2073,626
control,1500,516
control,944,437
control,1108,519
control,1092,446
control,4202,1151
control,908,446
control,4950,1467
control,847,351
control,7948,1862
control,1847,716
control,980,393
control,763,388
control,760,375
control,1600,582
control,2287,715
control,2525,777
control,1591,613
control,1489,530
control,1027,486
control,1679,652
control,1813,767
control,908,434
control,995,482
control,1808,878
control,897,393
control,3478,909
control,1042,465
control,1514,525
control,1044,634
control,582,322
control,922,464
control,2380,680
control,2649,937
control,845,369
control,640,376
control,1043,491
control,3987,1187
control,689,340
control,2525,835
control,1190,510
control,876,378
control,2180,846
control,1209,500
control,185,115
control,580,249
control,1599,567
control,2577,1007
control,3431,1006
control,828,415
control,3970,1095
control,1230,453
control,1371,535
control,1070,450
control,896,412
control,1196,535
control,517,308
control,1352,469
control,683,390
control,382,149
control,2794,805
control,705,447
control,755,446
control,3487,881
control,1430,540
control,1155,449
control,2203,730
control,1768,575
control,928,403
control,693,309
control,589,255
control,888,421
control,978,441
control,937,440
control,2261,738
control,2437,754
control,2134,921
control,778,408
control,1425,511
control,1737,928
control,813,368
control,883,426
control,740,366
control,969,444
control,462,248
control,2352,766
control,965,500
control,4228,1126
control,1103,403
control,3037,831
control,4394,1098
control,3340,1010
control,1733,883
control,1587,577
control,762,487
control,1303,463
control,2129,675
control,881,377
control,3929,991
control,1003,537
control,1315,484
control,596,391
control,1221,520
control,1106,579
control,719,405
control,1018,606
control,415,263
control,964,391
control,1003,466
control,816,478
control,1560,539
control,1617,566
control,4095,1210
control,948,496
control,1485,506
control,1027,451
control,1484,470
control,865,406
control,1230,435
control,1263,546
control,322,197
control,966,461
control,406,226
control,1732,777
control,4052,1149
control,1531,644
control,1215,447
control,1459,684
control,6839,1552
control,3511,1044
control,1389,494
control,1114,490
control,1256,428
control,2755,885
control,2018,786
control,820,368
control,2689,704
control,864,383
control,1267,510
control,1854,574
control,839,440
control,358,204
control,1929,560
control,1832,594
control,1070,539
control,1138,495
control,1160,490
control,2615,1046
control,3902,444
control,1550,536
control,846,431
control,2428,736
control,1398,590
control,1229,510
control,2771,872
control,1138,609
control,943,371
control,2217,924
control,1333,613
control,4370,1298
control,4147,980
control,814,440
control,1180,509
control,1105,513
control,574,340
control,978,469
control,1304,531
control,195,108
control,1474,532
control,924,445
control,691,417
control,2086,769
control,1507,457
control,242,145
control,879,437
control,1027,436
control,857,412
control,1356,536
control,956,430
control,892,371
control,2419,922
control,1144,418
control,795,376
control,1266,470
control,1356,671
control,3183,983
control,1113,474
control,1915,650
control,1081,588
control,2152,710
control,687,406
control,1092,466
control,3578,994
control,1458,536
control,1578,687
control,1556,574
control,2389,998
control,695,326
control,1405,657
control,690,345
control,1278,509
control,273,133
control,2144,669
control,1383,643
control,1711,498
control,1555,502
control,3147,573
control,2137,654
control,1138,352
control,928,436
control,3989,1055
control,488,271
control,1122,580
control,2714,1124
control,2848,769
control,972,468
control,202,128
control,4702,1088
control,1430,559
control,977,422
control,1609,573
control,871,426
control,1282,645
control,3029,774
control,1124,477
control,4292,1286
control,1079,462
control,623,313
control,930,461
control,884,464
control,1395,485
control,2046,735
control,262,129
control,1032,505
control,2437,879
control,998,575
control,2934,888
control,1019,495
control,960,434
control,743,377
control,966,591
control,1487,741
control,2013,524
control,2053,694
control,619,259
control,864,395
control,1539,502
control,1096,445
control,1234,442
control,3161,828
control,1000,373
control,852,524
control,2206,763
control,1306,536
control,2385,750
control,937,370
control,2138,820
control,1895,681
control,1369,571
control,1830,708
control,2055,756
control,1239,524
control,1725,766
control,1387,503
control,496,298
control,1530,548
control,4520,1213
control,611,275
control,2055,784
control,931,435
control,1221,444
control,305,168
control,690,348
control,790,317
control,470,271
control,2076,718
control,1314,413
control,1227,453
control,2155,731
control,1250,639
control,795,395
control,2821,796
control,783,362
control,982,481
control,1720,685
control,3070,1022
control,894,519
control,1307,454
control,478,279
control,2921,1158
control,661,389
control,2430,882
control,928,444
control,3310,941
control,1210,429
control,1477,543
control,4409,1228
control,1363,605
control,661,400
control,965,424
control,807,424
control,6632,1733
control,1563,571
control,970,512
control,2540,741
control,1569,530
control,1145,469
control,1279,497
control,2519,842
control,1079,404
control,2014,707
control,790,380
control,940,342
control,1421,558
control,890,515
control,3950,1114
control,967,417
control,3676,907
control,1738,548
control,2468,818
control,1637,617
control,1172,587
control,795,361
control,3701,969
control,1998,679
control,2871,779
control,2353,849
control,1270,543
control,1673,573
control,1002,386
control,893,438
control,661,325
control,2120,773
control,1740,577
control,945,451
control,1496,627
control,916,387
control,523,264
control,2242,716
control,3206,943
control,1593,534
control,2352,677
control,5049,1244
control,1118,545
control,526,251
control,708,352
control,1056,428
control,248,136
control,1811,578
control,2194,847
control,913,436
control,3545,928
control,474,254
control,614,253
control,1882,743
control,504,311
control,864,455
control,851,450
control,2113,799
control,1174,498
control,1258,500
control,2636,876
control,647,345
control,1965,607
control,1489,610
control,1123,421
control,952,458
control,3599,1016
control,1147,457
control,1836,730
control,5003,1401
control,1055,417
control,1246,448
control,2399,892
control,1164,569
control,532,161
control,969,462
control,859,420
control,1334,500
control,959,459
control,850,363
control,1147,518
control,532,292
control,1663,599
control,1183,489
control,386,223
control,752,383
control,1795,667
control,150,101
control,957,419
control,307,195
control,982,354
control,1197,580
control,1592,687
control,1108,477
control,228,117
control,3198,800
control,1217,401
control,1534,696
control,802,378
control,1257,518
control,844,520
control,1009,460
control,1214,557
control,1855,698
control,1087,427
control,775,438
control,196,125
control,644,320
control,965,424
control,429,247
control,1098,491
control,1325,461
control,3297,1031
control,848,472
control,713,460
control,1165,515
control,2245,844
control,843,430
control,1003,454
control,3308,918
control,575,281
