orig.ident,nCount_RNA,nFeature_RNA
stim_treatment,4322,1264
stim_treatment,945,476
stim_treatment,1567,533
stim_treatment,1153,508
stim_treatment,1295,461
stim_treatment,1053,642
stim_treatment,1376,515
stim_treatment,1531,672
stim_treatment,1242,500
stim_treatment,1350,528
stim_treatment,2635,879
stim_treatment,4072,862
stim_treatment,2854,884
stim_treatment,1299,519
stim_treatment,756,343
stim_treatment,668,306
stim_treatment,335,159
stim_treatment,795,365
stim_treatment,1307,539
stim_treatment,1155,555
stim_treatment,1111,590
stim_treatment,2995,743
stim_treatment,1614,619
stim_treatment,2101,615
stim_treatment,1987,718
stim_treatment,3923,1155
stim_treatment,1562,589
stim_treatment,4623,1140
stim_treatment,1076,529
stim_treatment,1843,698
stim_treatment,1756,749
stim_treatment,1918,878
stim_treatment,951,410
stim_treatment,3307,1419
stim_treatment,130,107
stim_treatment,1018,478
stim_treatment,698,311
stim_treatment,1482,566
stim_treatment,1685,667
stim_treatment,3952,686
stim_treatment,1182,611
stim_treatment,1391,499
stim_treatment,938,532
stim_treatment,1104,441
stim_treatment,1187,588
stim_treatment,1049,478
stim_treatment,653,362
stim_treatment,3065,786
stim_treatment,2038,629
stim_treatment,699,373
stim_treatment,4908,1453
stim_treatment,2147,606
stim_treatment,2498,868
stim_treatment,1181,565
stim_treatment,941,553
stim_treatment,2613,920
stim_treatment,1309,509
stim_treatment,1215,496
stim_treatment,1325,417
stim_treatment,1503,511
stim_treatment,1901,547
stim_treatment,1560,529
stim_treatment,665,370
stim_treatment,2596,973
stim_treatment,701,357
stim_treatment,1311,469
stim_treatment,742,417
stim_treatment,3274,785
stim_treatment,1204,537
stim_treatment,476,271
stim_treatment,1043,557
stim_treatment,1503,477
stim_treatment,1494,631
stim_treatment,866,483
stim_treatment,2781,935
stim_treatment,168,111
stim_treatment,397,185
stim_treatment,1766,603
stim_treatment,1078,482
stim_treatment,1300,522
stim_treatment,551,244
stim_treatment,1327,541
stim_treatment,405,268
stim_treatment,3270,1043
stim_treatment,1190,479
stim_treatment,1497,569
stim_treatment,2417,630
stim_treatment,1452,528
stim_treatment,1299,552
stim_treatment,1257,522
stim_treatment,1141,473
stim_treatment,1358,509
stim_treatment,1682,673
stim_treatment,2667,647
stim_treatment,1168,413
stim_treatment,991,354
stim_treatment,1389,547
stim_treatment,1537,670
stim_treatment,2192,633
stim_treatment,2264,607
stim_treatment,1451,524
stim_treatment,1214,562
stim_treatment,2394,641
stim_treatment,1583,528
stim_treatment,2074,613
stim_treatment,994,456
stim_treatment,866,361
stim_treatment,1804,605
stim_treatment,1706,716
stim_treatment,1720,697
stim_treatment,912,443
stim_treatment,1783,514
stim_treatment,1155,468
stim_treatment,2084,561
stim_treatment,2714,809
stim_treatment,984,443
stim_treatment,3156,776
stim_treatment,5076,1292
stim_treatment,1266,469
stim_treatment,689,351
stim_treatment,1770,573
stim_treatment,2476,851
stim_treatment,1457,621
stim_treatment,1223,551
stim_treatment,1040,455
stim_treatment,1334,550
stim_treatment,1223,506
stim_treatment,1739,765
stim_treatment,2763,671
stim_treatment,981,402
stim_treatment,1168,508
stim_treatment,922,424
stim_treatment,928,418
stim_treatment,2511,617
stim_treatment,1015,432
stim_treatment,1978,725
stim_treatment,2906,1005
stim_treatment,1187,469
stim_treatment,1852,728
stim_treatment,1079,474
stim_treatment,222,130
stim_treatment,1135,510
stim_treatment,3342,821
stim_treatment,1100,537
stim_treatment,1368,531
stim_treatment,1298,641
stim_treatment,399,191
stim_treatment,4376,1425
stim_treatment,4204,1166
stim_treatment,1436,516
stim_treatment,1176,443
stim_treatment,1280,624
stim_treatment,1860,583
stim_treatment,1527,647
stim_treatment,1282,528
stim_treatment,1171,481
stim_treatment,985,437
stim_treatment,3171,964
stim_treatment,1043,565
stim_treatment,660,352
stim_treatment,3163,1015
stim_treatment,385,270
stim_treatment,4124,1044
stim_treatment,1699,635
stim_treatment,1143,443
stim_treatment,836,362
stim_treatment,2580,927
stim_treatment,1309,569
stim_treatment,2572,713
stim_treatment,2087,666
stim_treatment,1568,692
stim_treatment,584,304
stim_treatment,3570,710
stim_treatment,1309,535
stim_treatment,2047,684
stim_treatment,958,418
stim_treatment,1311,623
stim_treatment,4632,1072
stim_treatment,1243,390
stim_treatment,2932,1401
stim_treatment,1090,510
stim_treatment,1262,450
stim_treatment,1456,640
stim_treatment,153,101
stim_treatment,1122,484
stim_treatment,3177,964
stim_treatment,174,108
stim_treatment,488,331
stim_treatment,1722,589
stim_treatment,1147,559
stim_treatment,1543,657
stim_treatment,6376,1322
stim_treatment,1366,503
stim_treatment,269,167
stim_treatment,1100,514
stim_treatment,1579,578
stim_treatment,3815,908
stim_treatment,1391,576
stim_treatment,1453,471
stim_treatment,1309,506
stim_treatment,1684,636
stim_treatment,793,351
stim_treatment,1349,566
stim_treatment,827,415
stim_treatment,1636,624
stim_treatment,2606,675
stim_treatment,3236,1116
stim_treatment,1271,542
stim_treatment,2143,690
stim_treatment,758,370
stim_treatment,3016,750
stim_treatment,994,442
stim_treatment,599,330
stim_treatment,3423,934
stim_treatment,5673,1340
stim_treatment,894,429
stim_treatment,232,111
stim_treatment,935,435
stim_treatment,2689,739
stim_treatment,867,391
stim_treatment,1108,496
stim_treatment,1358,626
stim_treatment,601,357
stim_treatment,3187,861
stim_treatment,2182,671
stim_treatment,1176,554
stim_treatment,911,416
stim_treatment,572,373
stim_treatment,1539,753
stim_treatment,1282,543
stim_treatment,1165,467
stim_treatment,1308,638
stim_treatment,3323,982
stim_treatment,1832,646
stim_treatment,3328,874
stim_treatment,2949,1078
stim_treatment,155,119
stim_treatment,1087,474
stim_treatment,703,329
stim_treatment,1653,607
stim_treatment,2248,634
stim_treatment,2758,841
stim_treatment,1342,694
stim_treatment,2360,648
stim_treatment,1762,612
stim_treatment,2021,754
stim_treatment,4610,1199
stim_treatment,1745,548
stim_treatment,1513,479
stim_treatment,1327,563
stim_treatment,1052,537
stim_treatment,1049,427
stim_treatment,226,136
stim_treatment,1649,763
stim_treatment,1178,468
stim_treatment,962,432
stim_treatment,3437,818
stim_treatment,1284,578
stim_treatment,1889,617
stim_treatment,1164,476
stim_treatment,1453,660
stim_treatment,1006,465
stim_treatment,634,343
stim_treatment,2879,722
stim_treatment,1218,514
stim_treatment,3162,843
stim_treatment,467,251
stim_treatment,1056,431
stim_treatment,1444,538
stim_treatment,1165,497
stim_treatment,1118,516
stim_treatment,2842,941
stim_treatment,1081,495
stim_treatment,951,439
stim_treatment,1986,981
stim_treatment,1616,650
stim_treatment,1053,435
stim_treatment,1879,717
stim_treatment,896,458
stim_treatment,1728,551
stim_treatment,601,364
stim_treatment,530,292
stim_treatment,1808,822
stim_treatment,3573,1028
stim_treatment,1795,603
stim_treatment,931,424
stim_treatment,1476,580
stim_treatment,1951,790
stim_treatment,1018,487
stim_treatment,1329,510
stim_treatment,998,463
stim_treatment,2468,860
stim_treatment,3022,974
stim_treatment,687,251
stim_treatment,1074,385
stim_treatment,1151,601
stim_treatment,1024,495
stim_treatment,1045,437
stim_treatment,400,186
stim_treatment,2183,663
stim_treatment,1353,457
stim_treatment,422,257
stim_treatment,1154,594
stim_treatment,1100,487
stim_treatment,2509,722
stim_treatment,1587,525
stim_treatment,828,401
stim_treatment,862,379
stim_treatment,1206,403
stim_treatment,2166,576
stim_treatment,1527,584
stim_treatment,1197,448
stim_treatment,1615,586
stim_treatment,1707,548
stim_treatment,902,446
stim_treatment,1373,510
stim_treatment,2021,575
stim_treatment,874,420
stim_treatment,399,217
stim_treatment,1592,583
stim_treatment,755,352
stim_treatment,3797,574
stim_treatment,191,116
stim_treatment,1245,634
stim_treatment,191,113
stim_treatment,1135,421
stim_treatment,1725,607
stim_treatment,1118,430
stim_treatment,2480,779
stim_treatment,796,404
stim_treatment,861,307
stim_treatment,2210,764
stim_treatment,2020,705
stim_treatment,857,327
stim_treatment,1086,496
stim_treatment,975,451
stim_treatment,4589,1067
stim_treatment,1054,461
stim_treatment,1537,498
stim_treatment,2557,678
stim_treatment,1140,574
stim_treatment,1161,532
stim_treatment,2617,1057
stim_treatment,1729,693
stim_treatment,1485,566
stim_treatment,1463,587
stim_treatment,1069,493
stim_treatment,998,447
stim_treatment,1376,526
stim_treatment,1628,561
stim_treatment,883,454
stim_treatment,998,506
stim_treatment,966,508
stim_treatment,1733,676
stim_treatment,939,468
stim_treatment,1030,408
stim_treatment,4641,1418
stim_treatment,1387,498
stim_treatment,3531,984
stim_treatment,799,457
stim_treatment,4560,1000
stim_treatment,1314,544
stim_treatment,4943,1238
stim_treatment,1120,487
stim_treatment,1180,570
stim_treatment,368,233
stim_treatment,866,403
stim_treatment,1054,423
stim_treatment,927,432
stim_treatment,1163,488
stim_treatment,1326,505
stim_treatment,1843,710
stim_treatment,1675,583
stim_treatment,1554,557
stim_treatment,129,100
stim_treatment,3947,1080
stim_treatment,1093,440
stim_treatment,1519,482
stim_treatment,1728,624
stim_treatment,1562,486
stim_treatment,1023,412
stim_treatment,1195,624
stim_treatment,2535,929
stim_treatment,1504,506
stim_treatment,1795,820
stim_treatment,1243,452
stim_treatment,340,179
stim_treatment,4806,1357
stim_treatment,1104,495
stim_treatment,1072,500
stim_treatment,921,401
stim_treatment,1684,444
stim_treatment,1150,607
stim_treatment,1010,517
stim_treatment,2420,822
stim_treatment,1554,576
stim_treatment,939,394
stim_treatment,3672,945
stim_treatment,1686,565
stim_treatment,1390,535
stim_treatment,1499,521
stim_treatment,776,405
stim_treatment,1067,559
stim_treatment,1252,519
stim_treatment,1549,503
stim_treatment,771,341
stim_treatment,1075,488
stim_treatment,3500,898
stim_treatment,3939,985
stim_treatment,1175,508
stim_treatment,1355,580
stim_treatment,1738,627
stim_treatment,1307,500
stim_treatment,2113,788
stim_treatment,1496,646
stim_treatment,1238,538
stim_treatment,1547,531
stim_treatment,2427,765
stim_treatment,1279,407
stim_treatment,5727,1463
stim_treatment,1594,686
stim_treatment,1012,442
stim_treatment,917,496
stim_treatment,999,499
stim_treatment,3169,1024
stim_treatment,1905,672
stim_treatment,2035,812
stim_treatment,215,137
stim_treatment,1513,647
stim_treatment,1334,466
stim_treatment,3400,754
stim_treatment,3200,843
stim_treatment,417,226
stim_treatment,1661,556
stim_treatment,1090,449
stim_treatment,771,489
stim_treatment,1077,392
stim_treatment,599,353
stim_treatment,1291,550
stim_treatment,896,455
stim_treatment,2995,1075
stim_treatment,3244,737
stim_treatment,2700,788
stim_treatment,1238,534
stim_treatment,355,168
stim_treatment,2554,864
stim_treatment,2376,664
stim_treatment,1144,372
stim_treatment,1075,497
stim_treatment,893,424
stim_treatment,732,392
stim_treatment,2741,900
stim_treatment,595,354
stim_treatment,1928,558
stim_treatment,1028,367
stim_treatment,713,375
stim_treatment,462,234
stim_treatment,1143,422
stim_treatment,175,120
stim_treatment,1903,798
stim_treatment,1198,487
stim_treatment,1151,461
stim_treatment,2707,838
stim_treatment,1053,484
stim_treatment,1629,786
stim_treatment,636,323
stim_treatment,1387,579
stim_treatment,1109,481
stim_treatment,4382,1157
stim_treatment,1171,553
stim_treatment,2753,898
stim_treatment,923,412
stim_treatment,1043,440
stim_treatment,3973,979
stim_treatment,1490,605
stim_treatment,1493,592
stim_treatment,300,172
stim_treatment,935,386
stim_treatment,1998,543
stim_treatment,1147,425
stim_treatment,2019,731
stim_treatment,1109,604
stim_treatment,1063,485
stim_treatment,3511,1180
stim_treatment,1405,667
stim_treatment,1029,380
stim_treatment,3520,920
stim_treatment,1355,607
stim_treatment,3958,1066
stim_treatment,3528,746
stim_treatment,2489,924
stim_treatment,891,416
stim_treatment,1921,688
stim_treatment,1058,560
stim_treatment,186,121
stim_treatment,1360,474
stim_treatment,1014,498
stim_treatment,2407,655
stim_treatment,1109,505
stim_treatment,1090,449
stim_treatment,1185,576
stim_treatment,784,371
stim_treatment,932,431
stim_treatment,1486,664
stim_treatment,2165,871
stim_treatment,1423,582
stim_treatment,425,264
stim_treatment,663,254
stim_treatment,1257,608
stim_treatment,3762,910
stim_treatment,3453,985
stim_treatment,1516,608
stim_treatment,482,297
stim_treatment,1287,541
stim_treatment,595,330
stim_treatment,4196,914
stim_treatment,1872,870
stim_treatment,1267,481
stim_treatment,1399,588
stim_treatment,1223,476
stim_treatment,1311,511
stim_treatment,252,147
stim_treatment,749,436
stim_treatment,1250,556
stim_treatment,2373,864
stim_treatment,1137,453
stim_treatment,988,480
stim_treatment,1798,548
stim_treatment,2629,682
stim_treatment,1788,848
stim_treatment,2060,580
stim_treatment,1853,603
stim_treatment,767,388
stim_treatment,3148,989
stim_treatment,3770,1059
stim_treatment,3646,770
stim_treatment,802,402
stim_treatment,1246,509
stim_treatment,1280,570
stim_treatment,1395,552
stim_treatment,2688,687
stim_treatment,3059,749
stim_treatment,1549,479
stim_treatment,1911,604
stim_treatment,1445,519
stim_treatment,3158,690
stim_treatment,872,397
stim_treatment,1267,448
stim_treatment,2019,661
stim_treatment,1019,458
stim_treatment,642,298
stim_treatment,2550,1262
stim_treatment,3894,1019
stim_treatment,1354,547
stim_treatment,864,389
stim_treatment,1349,530
stim_treatment,845,421
stim_treatment,845,454
stim_treatment,1741,597
stim_treatment,1787,654
stim_treatment,1612,601
stim_treatment,1595,588
stim_treatment,1420,567
stim_treatment,1048,481
stim_treatment,1126,552
stim_treatment,417,263
stim_treatment,1256,529
stim_treatment,1539,571
stim_treatment,1060,461
stim_treatment,1782,593
stim_treatment,5240,1438
stim_treatment,746,281
stim_treatment,2301,879
stim_treatment,918,455
stim_treatment,1366,569
stim_treatment,3871,1278
stim_treatment,2031,740
stim_treatment,5043,1412
stim_treatment,1773,817
stim_treatment,1540,555
stim_treatment,1038,388
stim_treatment,1277,591
stim_treatment,1373,532
stim_treatment,2118,647
stim_treatment,2714,678
stim_treatment,344,195
stim_treatment,2132,617
stim_treatment,3005,884
stim_treatment,762,339
stim_treatment,354,223
stim_treatment,2670,1049
stim_treatment,1120,527
stim_treatment,1205,486
stim_treatment,1338,509
stim_treatment,676,435
stim_treatment,813,447
stim_treatment,700,437
stim_treatment,3328,964
stim_treatment,1118,458
stim_treatment,1197,436
stim_treatment,1974,571
stim_treatment,449,291
stim_treatment,2668,672
stim_treatment,1972,699
stim_treatment,1250,530
stim_treatment,1239,470
stim_treatment,2035,697
stim_treatment,1410,590
stim_treatment,1108,487
stim_treatment,643,310
stim_treatment,2700,936
stim_treatment,1208,491
stim_treatment,930,459
stim_treatment,1353,472
stim_treatment,1064,513
stim_treatment,1153,472
stim_treatment,1854,598
stim_treatment,2232,685
stim_treatment,4623,1321
stim_treatment,1968,754
stim_treatment,5881,1456
stim_treatment,964,375
stim_treatment,622,278
stim_treatment,1306,507
stim_treatment,1338,561
stim_treatment,989,489
stim_treatment,486,277
stim_treatment,1093,466
stim_treatment,2622,864
stim_treatment,4784,1212
stim_treatment,1616,733
stim_treatment,2802,754
stim_treatment,1170,524
stim_treatment,2054,613
stim_treatment,738,424
stim_treatment,2935,837
stim_treatment,1799,642
stim_treatment,1642,559
stim_treatment,1126,483
stim_treatment,2701,829
stim_treatment,1481,510
stim_treatment,2616,671
stim_treatment,1317,497
stim_treatment,822,401
stim_treatment,2190,681
stim_treatment,2155,763
stim_treatment,772,353
stim_treatment,1123,562
stim_treatment,827,420
stim_treatment,1509,573
stim_treatment,1077,490
stim_treatment,2200,689
stim_treatment,2661,758
stim_treatment,2050,622
stim_treatment,2633,854
stim_treatment,1452,524
stim_treatment,903,480
stim_treatment,672,343
stim_treatment,4930,1325
stim_treatment,2045,743
stim_treatment,2802,680
stim_treatment,1457,652
stim_treatment,2532,751
stim_treatment,818,448
stim_treatment,1461,524
stim_treatment,2954,685
stim_treatment,896,495
stim_treatment,2283,836
stim_treatment,883,500
stim_treatment,1477,517
stim_treatment,2134,857
stim_treatment,1482,616
stim_treatment,1227,523
stim_treatment,1339,662
stim_treatment,3696,1120
stim_treatment,2031,868
stim_treatment,1264,693
stim_treatment,1420,620
stim_treatment,1044,445
stim_treatment,2299,863
stim_treatment,1683,530
stim_treatment,450,221
stim_treatment,1254,445
stim_treatment,1124,465
stim_treatment,2858,868
stim_treatment,1259,608
stim_treatment,2738,685
stim_treatment,2620,810
stim_treatment,2343,594
stim_treatment,1112,474
stim_treatment,950,503
stim_treatment,1357,506
stim_treatment,1160,469
stim_treatment,1660,538
stim_treatment,1519,530
stim_treatment,1397,606
stim_treatment,2182,719
stim_treatment,3053,887
stim_treatment,1194,523
stim_treatment,1519,726
stim_treatment,1532,662
stim_treatment,1087,499
stim_treatment,1251,518
stim_treatment,708,367
stim_treatment,1244,507
stim_treatment,2801,751
stim_treatment,1783,570
stim_treatment,1108,453
stim_treatment,488,329
stim_treatment,2203,805
stim_treatment,859,407
stim_treatment,788,332
stim_treatment,1257,500
stim_treatment,882,422
stim_treatment,678,355
stim_treatment,3530,872
stim_treatment,2548,1110
stim_treatment,1244,526
stim_treatment,1119,561
stim_treatment,1275,436
stim_treatment,1042,342
stim_treatment,1165,501
stim_treatment,3183,1011
stim_treatment,2684,1015
stim_treatment,1205,488
stim_treatment,4310,1088
stim_treatment,1360,517
stim_treatment,1085,481
stim_treatment,1407,536
stim_treatment,2977,770
stim_treatment,1469,729
stim_treatment,2679,859
stim_treatment,2572,726
stim_treatment,1311,504
stim_treatment,3312,896
stim_treatment,2114,607
stim_treatment,2043,724
stim_treatment,1779,592
stim_treatment,1202,512
stim_treatment,1231,653
stim_treatment,2886,1025
stim_treatment,719,244
stim_treatment,1120,516
stim_treatment,1068,497
stim_treatment,2866,1098
stim_treatment,359,206
stim_treatment,4080,1134
stim_treatment,1328,519
stim_treatment,191,130
stim_treatment,1096,495
stim_treatment,2916,888
stim_treatment,806,405
stim_treatment,1085,488
stim_treatment,2492,769
stim_treatment,1910,565
stim_treatment,1364,613
stim_treatment,584,316
stim_treatment,1942,673
stim_treatment,1361,476
stim_treatment,1824,731
stim_treatment,1351,540
stim_treatment,3057,900
stim_treatment,1026,457
stim_treatment,4516,1051
stim_treatment,3576,936
stim_treatment,1295,503
stim_treatment,1430,631
stim_treatment,756,352
stim_treatment,4269,1042
stim_treatment,2586,687
stim_treatment,1739,493
stim_treatment,1029,505
stim_treatment,2208,635
stim_treatment,1306,577
stim_treatment,2522,743
stim_treatment,3197,409
stim_treatment,1610,598
stim_treatment,2799,893
stim_treatment,1005,483
stim_treatment,542,347
stim_treatment,2135,873
stim_treatment,1811,730
stim_treatment,4113,1156
stim_treatment,2792,1048
stim_treatment,1210,508
stim_treatment,410,241
stim_treatment,1219,562
stim_treatment,2507,777
stim_treatment,4074,1418
stim_treatment,2683,702
stim_treatment,1128,515
stim_treatment,1131,558
stim_treatment,2856,468
stim_treatment,2029,596
stim_treatment,2322,691
stim_treatment,943,525
stim_treatment,2434,632
stim_treatment,1199,463
stim_treatment,1087,330
stim_treatment,1182,568
stim_treatment,3244,770
stim_treatment,426,161
stim_treatment,1750,582
stim_treatment,930,446
stim_treatment,838,464
stim_treatment,1245,517
stim_treatment,3164,768
stim_treatment,2021,820
stim_treatment,1093,515
stim_treatment,1225,519
stim_treatment,1545,633
stim_treatment,1124,530
stim_treatment,1720,510
stim_treatment,1908,634
stim_treatment,2201,648
stim_treatment,793,476
stim_treatment,981,568
stim_treatment,543,246
stim_treatment,896,468
stim_treatment,1002,454
stim_treatment,454,236
stim_treatment,482,240
stim_treatment,509,277
stim_treatment,502,255
stim_treatment,1311,503
stim_treatment,1008,484
stim_treatment,4125,1031
stim_treatment,2644,873
stim_treatment,2257,740
stim_treatment,868,423
stim_treatment,3943,1163
stim_treatment,804,385
stim_treatment,4373,1219
stim_treatment,2201,597
stim_treatment,1130,551
stim_treatment,1708,640
stim_treatment,897,435
stim_treatment,3931,1430
stim_treatment,2590,555
stim_treatment,2336,739
stim_treatment,1352,601
stim_treatment,1247,516
stim_treatment,1377,642
stim_treatment,970,453
stim_treatment,566,290
stim_treatment,1019,507
stim_treatment,680,320
stim_treatment,1005,496
stim_treatment,815,358
stim_treatment,1060,475
stim_treatment,3778,1065
stim_treatment,202,129
stim_treatment,411,234
stim_treatment,841,424
stim_treatment,2431,840
stim_treatment,596,315
stim_treatment,1792,562
stim_treatment,1695,656
stim_treatment,286,151
stim_treatment,1682,833
stim_treatment,2949,825
stim_treatment,1326,588
stim_treatment,1074,403
stim_treatment,1232,509
stim_treatment,3548,1131
stim_treatment,606,313
stim_treatment,1996,817
stim_treatment,510,225
stim_treatment,607,321
stim_treatment,767,468
stim_treatment,1337,513
stim_treatment,945,426
stim_treatment,2707,842
stim_treatment,2948,739
stim_treatment,1685,538
stim_treatment,3663,863
stim_treatment,1028,466
stim_treatment,1107,571
stim_treatment,933,561
stim_treatment,3679,1033
stim_treatment,1316,610
stim_treatment,152,118
stim_treatment,2864,858
stim_treatment,1449,520
stim_treatment,2861,1060
stim_treatment,2413,1046
stim_treatment,474,291
stim_treatment,1106,460
stim_treatment,1429,549
stim_treatment,1349,552
stim_treatment,887,457
stim_treatment,3916,1393
stim_treatment,1495,542
stim_treatment,1717,553
stim_treatment,1196,550
stim_treatment,2033,555
stim_treatment,1126,523
stim_treatment,2547,986
stim_treatment,1188,532
stim_treatment,1231,558
stim_treatment,2553,753
stim_treatment,1365,527
stim_treatment,1213,537
stim_treatment,1062,441
stim_treatment,3070,745
stim_treatment,966,522
stim_treatment,1511,616
stim_treatment,4496,1168
stim_treatment,819,327
stim_treatment,3996,1013
stim_treatment,1980,774
stim_treatment,1894,732
stim_treatment,1678,629
stim_treatment,2412,841
stim_treatment,1026,557
stim_treatment,1689,695
stim_treatment,2620,759
stim_treatment,830,382
stim_treatment,1177,480
stim_treatment,277,140
stim_treatment,1888,737
stim_treatment,1050,420
stim_treatment,2102,818
stim_treatment,1031,442
stim_treatment,3169,784
stim_treatment,2667,821
stim_treatment,2270,689
stim_treatment,2519,815
stim_treatment,1355,451
stim_treatment,3445,900
stim_treatment,719,411
stim_treatment,1141,500
stim_treatment,1001,448
stim_treatment,1051,478
stim_treatment,1004,443
stim_treatment,795,366
stim_treatment,4917,1200
stim_treatment,2382,908
stim_treatment,2426,708
stim_treatment,1249,513
stim_treatment,1166,537
stim_treatment,3100,904
stim_treatment,1256,567
stim_treatment,1425,522
stim_treatment,2231,584
stim_treatment,2354,643
stim_treatment,1156,518
stim_treatment,1000,448
stim_treatment,1358,634
stim_treatment,1386,562
stim_treatment,1069,505
stim_treatment,2325,651
stim_treatment,1335,538
stim_treatment,934,451
stim_treatment,2827,707
stim_treatment,1531,577
stim_treatment,2481,636
stim_treatment,1507,573
stim_treatment,1584,528
stim_treatment,3491,1160
stim_treatment,5132,1179
stim_treatment,690,352
stim_treatment,1933,711
stim_treatment,848,407
stim_treatment,4080,1105
stim_treatment,1279,555
stim_treatment,1670,620
stim_treatment,1327,489
stim_treatment,1724,561
stim_treatment,937,467
stim_treatment,2345,660
stim_treatment,1335,520
stim_treatment,4089,1052
stim_treatment,226,128
stim_treatment,938,399
stim_treatment,848,417
stim_treatment,1551,537
stim_treatment,573,370
stim_treatment,1430,524
stim_treatment,1162,473
stim_treatment,1368,630
stim_treatment,1519,679
stim_treatment,2161,800
stim_treatment,872,434
stim_treatment,1324,566
stim_treatment,767,350
stim_treatment,1993,746
stim_treatment,894,437
stim_treatment,1150,425
stim_treatment,984,489
stim_treatment,1749,625
stim_treatment,2390,833
stim_treatment,1766,757
stim_treatment,3460,1034
stim_treatment,5621,1287
stim_treatment,1057,524
stim_treatment,2665,769
stim_treatment,580,326
stim_treatment,1147,527
stim_treatment,430,272
stim_treatment,1120,546
stim_treatment,1120,563
stim_treatment,5412,1397
stim_treatment,879,468
stim_treatment,971,426
stim_treatment,544,271
stim_treatment,1148,503
stim_treatment,1067,479
stim_treatment,4169,1399
stim_treatment,1094,495
stim_treatment,1099,472
stim_treatment,1851,558
stim_treatment,792,389
stim_treatment,4680,1249
stim_treatment,1394,567
stim_treatment,721,441
stim_treatment,2178,682
stim_treatment,2479,754
stim_treatment,358,224
stim_treatment,3534,969
stim_treatment,868,316
stim_treatment,1225,586
stim_treatment,3028,839
stim_treatment,534,338
stim_treatment,931,390
stim_treatment,3248,1022
stim_treatment,1609,531
stim_treatment,2459,730
stim_treatment,439,267
stim_treatment,1146,426
stim_treatment,913,388
stim_treatment,3985,1148
stim_treatment,946,388
stim_treatment,2871,762
stim_treatment,2947,984
stim_treatment,1302,456
stim_treatment,2081,760
stim_treatment,806,391
stim_treatment,795,459
stim_treatment,1911,635
stim_treatment,2477,893
stim_treatment,841,429
stim_treatment,778,426
stim_treatment,709,382
stim_treatment,2952,1131
stim_treatment,3732,1231
stim_treatment,1613,759
stim_treatment,2726,1017
stim_treatment,2478,762
stim_treatment,1613,621
stim_treatment,2367,848
stim_treatment,1427,571
stim_treatment,838,345
stim_treatment,1488,573
stim_treatment,1249,497
stim_treatment,2717,618
stim_treatment,1348,552
stim_treatment,1457,487
stim_treatment,853,431
stim_treatment,1531,607
stim_treatment,1063,424
stim_treatment,455,234
stim_treatment,923,464
stim_treatment,645,299
stim_treatment,2639,608
stim_treatment,1407,567
stim_treatment,748,434
stim_treatment,2711,631
stim_treatment,3040,934
stim_treatment,917,401
stim_treatment,709,407
stim_treatment,1375,655
stim_treatment,1577,509
stim_treatment,2115,620
stim_treatment,3697,1349
stim_treatment,1663,544
stim_treatment,848,385
stim_treatment,707,404
stim_treatment,2653,649
stim_treatment,3571,964
stim_treatment,5260,1340
stim_treatment,744,411
stim_treatment,1124,479
stim_treatment,1300,561
stim_treatment,1711,579
stim_treatment,1524,611
stim_treatment,1444,520
stim_treatment,815,429
stim_treatment,524,326
stim_treatment,1072,555
stim_treatment,904,455
stim_treatment,1084,482
stim_treatment,423,169
stim_treatment,1341,524
stim_treatment,1594,655
stim_treatment,2969,798
stim_treatment,357,207
stim_treatment,501,289
stim_treatment,1302,462
stim_treatment,4261,986
stim_treatment,1404,563
stim_treatment,1085,507
stim_treatment,937,399
stim_treatment,3964,1170
stim_treatment,858,462
stim_treatment,474,299
stim_treatment,3067,939
stim_treatment,2028,816
stim_treatment,883,431
stim_treatment,1610,531
stim_treatment,3845,1176
stim_treatment,857,389
stim_treatment,4939,1126
stim_treatment,1990,632
stim_treatment,1274,463
stim_treatment,866,458
stim_treatment,3290,1102
stim_treatment,1917,667
stim_treatment,1061,510
stim_treatment,952,461
stim_treatment,1119,454
stim_treatment,1026,478
stim_treatment,1307,545
stim_treatment,4314,1057
stim_treatment,1614,635
stim_treatment,1261,522
stim_treatment,900,369
stim_treatment,3053,1187
stim_treatment,1533,596
stim_treatment,1093,441
stim_treatment,1526,565
stim_treatment,931,448
stim_treatment,1362,488
stim_treatment,3399,896
stim_treatment,1086,376
stim_treatment,1364,545
stim_treatment,745,381
stim_treatment,690,318
stim_treatment,2469,727
stim_treatment,188,104
stim_treatment,1922,854
stim_treatment,1258,619
stim_treatment,1119,383
stim_treatment,1448,551
stim_treatment,868,408
stim_treatment,1160,481
stim_treatment,497,292
stim_treatment,2526,724
stim_treatment,3558,925
stim_treatment,2228,749
stim_treatment,737,338
stim_treatment,1609,721
stim_treatment,2242,767
stim_treatment,951,396
stim_treatment,981,436
stim_treatment,1692,577
stim_treatment,1460,532
stim_treatment,1280,552
stim_treatment,1017,433
stim_treatment,1511,532
stim_treatment,1460,576
stim_treatment,1253,425
stim_treatment,921,534
stim_treatment,991,496
stim_treatment,4359,800
stim_treatment,1353,493
stim_treatment,412,244
stim_treatment,2398,686
stim_treatment,1767,602
stim_treatment,1209,515
stim_treatment,1040,492
stim_treatment,1250,524
stim_treatment,1519,651
stim_treatment,2636,838
stim_treatment,1935,667
stim_treatment,1195,534
stim_treatment,1004,511
stim_treatment,1558,507
stim_treatment,1084,491
stim_treatment,681,384
